ID,Term,Definition,Name,,,,,,,,,,,,,,,,,,,,,,
1,A -- is composed of symbols and subscripts indicating the number of atoms of an element in a compound.,chemical formula,H Sci1,,,,,,,,,,,,,,,,,,,,,,
2,A -- is the force that old atoms together in a compound.,chemical bond,H Sci2,,,,,,,,,,,,,,,,,,,,,,
3,Atmos form compounds when the compound is more -- than the separate atoms.,stable,H Sci3,,,,,,,,,,,,,,,,,,,,,,
4,"Atoms can lose, gain, or -- electrons to get a stable outer energy level.",share,H Sci4,,,,,,,,,,,,,,,,,,,,,,
5,"Bubbling of gas, or effervescence, indicates what kind of change?",A chemical change.,H Sci5,,,,,,,,,,,,,,,,,,,,,,
6,Elements that do not have full outer energy levels are unstable until they form a --,compound,H Sci6,,,,,,,,,,,,,,,,,,,,,,
7,Noble gases are more -- than other elements because they have a complete energy level.,chemically stable,H Sci7,,,,,,,,,,,,,,,,,,,,,,
8,Some elements combine chemically and no longer have the same -- they did before forming a compound.,properties,H Sci8,,,,,,,,,,,,,,,,,,,,,,
9,Why does placing wheels under a heavy box reduce the necessary force require to push it along at a constant speed?,The wheels allow the load to be equally distributed and moves the force on movement onto something that rolls reducing the required force,H Sci9,,,,,,,,,,,,,,,,,,,,,,
10,Which element is present in all organic compounds?,Carbon,H Sci10,,,,,,,,,,,,,,,,,,,,,,
11,Which of the following is most effective in helping rain forest plants trap sunlight so that light energy can be converted to chemical energy? a. Large root size b. Small seed size c. Large leaf size d. Small stem,C,H Sci11,,,,,,,,,,,,,,,,,,,,,,
12,Identify the type of enregy stored in a stretched bungee cord.,Potential,H Sci12,,,,,,,,,,,,,,,,,,,,,,
13,"Apply Newtonn's third law of motion to explain how 2 billiard balls, moving toward each other at the same speed, collide and move away from each other at the same speed as before.",The action of them hitting each other is = by them bouncing. They would move in the opposite direction.,H Sci13,,,,,,,,,,,,,,,,,,,,,,
14,Which process is most closely associated with the regulation of water loss from the leaves of trees? (1) digestion of water within the cytoplasm in the leaf cells of the trees (2) synthesis of protein by the chloroplasts in the leaf cells of the trees (3) movement of water through leaf openings controlled by the guard cells (4) absorption of nitrogen through leaf openings controlled by the guard cells,3,H Sci14,,,,,,,,,,,,,,,,,,,,,,
15,Explain why a backward-facing car seat is safer for an infant than a forward-facing car seat during a collision or abrupt stop.,"The baby would not slide forard, the cack af the seat safely distributes the force pushing him fwd.",H Sci15,,,,,,,,,,,,,,,,,,,,,,
16,explain the relationship between work and power,Power is the rate of doing work,H Sci16,,,,,,,,,,,,,,,,,,,,,,
17,The fight-or-flight response includes greater heart output and a rise in blood pressure. This response is due to A insulin secreted by the pancreas. B thyroxine secreted by the thyroid gland. C oxytocin secreted by the pituitary gland. D adrenaline secreted by the adrenal glands.,D,H Sci17,,,,,,,,,,,,,,,,,,,,,,
18,What is a nonelectrolyte,solution that does not contain ions,H Sci18,,,,,,,,,,,,,,,,,,,,,,
19,Explain why steam (gas) has a lower specific heat than water (liquid).?,molecular density of the gas is less than the liquid,H Sci19,,,,,,,,,,,,,,,,,,,,,,
20,Parts per million is used to express the (1) atomic mass of an element (2) concentration of a solution (3) volume of a substance (4) rate of heat transfer,2,H Sci20,,,,,,,,,,,,,,,,,,,,,,
21,Describe the method of heat transfer involved when you mix hot water with cold water to make lukewarm water.,conduction,H Sci21,,,,,,,,,,,,,,,,,,,,,,
22,Why are gamma rays more dangerous than alpha paticles or beta,"Gamma rays can pass through many more materials, such as clothing or walls. tjan alpha or beta particles can.",H Sci22,,,,,,,,,,,,,,,,,,,,,,
23,The process of photosynthesis ultimately converts light energy into — a. mechanical energy b. nuclear energy c. chemical energy d. electrical energy ,conduction,H Sci23,,,,,,,,,,,,,,,,,,,,,,
24,Whatkind of  energy is  produced by heat within the Earth,geothermal energy,H Sci24,,,,,,,,,,,,,,,,,,,,,,
25,A fruit fl y is classifi ed as a consumer rather than as a producer because it is unable to: (1) reproduce asexually (2) synthesize its own food (3) release energy stored in organic molecules (4) remove wastes from its body,2,H Sci25,,,,,,,,,,,,,,,,,,,,,,
26,"If the concentration of sodium is greater outside a cell than inside the cell, which process could move sodium out of the cell? (1) diffusion (2) carbohydrate synthesis (3) active transport (4) digestion",3,H Sci26,,,,,,,,,,,,,,,,,,,,,,
27,What is the most common term used in genetics to describe the observable physical characteristics of an organism caused by the expression of a gene or set of genes? ,ANSWER: PHENOTYPE,H Sci27,,,,,,,,,,,,,,,,,,,,,,
28,What is the biological term most often used for the act of a cell engulfing a particle by extending its pseudopodia (read as: SU-doe-POH-dee-ah) around the particle? ,ANSWER: PHAGOCYTOSIS,H Sci28,,,,,,,,,,,,,,,,,,,,,,
29,An aqueous solution in which the concentration of OH– ions is greater than that of H+ ions is: W) basic X) acidic Y) neutral Z) in equilibrium,ANSWER: W) BASIC,H Sci29,,,,,,,,,,,,,,,,,,,,,,
30,What property of a sound wave is most commonly associated with loudness? ,ANSWER: AMPLITUDE,H Sci30,,,,,,,,,,,,,,,,,,,,,,
31,Two types of organic reactions are (1) deposition and saponification (2) deposition and transmutation (3) polymerization and saponification (4) polymerization and transmutation,,H Sci31,,,,,,,,,,,,,,,,,,,,,,
32,"Organisms contain compounds such as proteins, starches, and fats. The chemical bonds in these compounds can be a source of: (1) amino acids (2) simple sugars (3) energy (4) enzymes",3,H Sci32,,,,,,,,,,,,,,,,,,,,,,
33,Which life function is not necessary for an individual organism to stay alive? (1) nutrition  (2) reproduction (3) regulation (4) excretion,2,H Sci33,,,,,,,,,,,,,,,,,,,,,,
34,"9 Fossil fuels have been used for years as a source of energy. Even though there are many negative issues associated with the use of fossil fuels, they continue to be used to a great extent. This is most likely because (1) they have been commercially available as an energy source (2) there are alternatives to these types of fuels (3) they have had a positive effect on global temperatures (4) fossil fuels can be burned to produce large quantities of carbon dioxide",1,H Sci34,,,,,,,,,,,,,,,,,,,,,,
35,A child with cystic fi brosis has an altered protein in his cells that stops chloride ions from leaving the cells. This protein most likely affects the functioning of (1) cell membranes (2) nuclei (3) mitochondria  (4) ribosomes,1,H Sci35,,,,,,,,,,,,,,,,,,,,,,
36,Fungi are decomposers that play an important role in the maintenance of an ecosystem. The role of fungi is important because they (1) synthesize energy-rich compounds that are directly used by producers (2) break down materials that can then be used by other organisms (3) limit the number of plants that can perform photosynthesis in an area (4) are competitors of other consumers such as herbivores,2,H Sci36,,,,,,,,,,,,,,,,,,,,,,
37, In which biome do the evaporation rates exceed the precipitation rates? a. Hardwood forest b. Desert c. Grassland d. Tropical jungle ,B,H Sci37,,,,,,,,,,,,,,,,,,,,,,
38,Which of these is the greatest limiting factor for plants that grow on the floor of a rain forest? a. Herbivores b. Water c. Sunlight d. Space ,C,H Sci38,,,,,,,,,,,,,,,,,,,,,,
39,What is a dipole?,A molecule that has both negatively and positively charged poles caused by the unequal distribution of electrons,H Sci39,,,,,,,,,,,,,,,,,,,,,,
40,Which of the following choices is not a method of preventing bacterial illnesses from spreading in a meat-processing plant? a. Using antibiotics to treat persons with food poisoning b. Washing hands and utensils with hot soapy water c. Use of gloves when handling raw meat products d. Treatment of work areas with chemical disinfectants ,A,H Sci40,,,,,,,,,,,,,,,,,,,,,,
41,"A mutation occurring in a human can be passed from parent to offspring when it occurs in a (1) lung cell, due to exposure to a toxic gas (2) gamete formed in the ovary (3) body cell undergoing mitosis (4) heart cell with chromosome damage",2,H Sci41,,,,,,,,,,,,,,,,,,,,,,
42,The basic building blocks of a protein are (1) glucose molecules (3) hormones (2) amino acids (4) fats,2,H Sci42,,,,,,,,,,,,,,,,,,,,,,
43,What is a polar molecule,A molecule that has partially charged electrical poles,H Sci43,,,,,,,,,,,,,,,,,,,,,,
44,Which processes represent one chemical change and one physical change? (1) freezing and melting (2) freezing and vaporization (3) decomposition and melting (4) decomposition and combustion,3,H Sci44,,,,,,,,,,,,,,,,,,,,,,
45,What kind of change is cracking open an egg?,"Physical (The egg is still an egg, it just looks different.)",H Sci45,,,,,,,,,,,,,,,,,,,,,,
46,The method that measures the change in water volume when an object is added is called                 ,Displacement,H Sci46,,,,,,,,,,,,,,,,,,,,,,
47,What does the law of impenetrability say?,Two objects can't be in the exact same place at the exact same time.,H Sci47,,,,,,,,,,,,,,,,,,,,,,
48,What is a volt?,the unit measurement of the difference between electrical potentials,H Sci48,,,,,,,,,,,,,,,,,,,,,,
