ID,Question,Answer,Name,,,,,,,,,,,,,,,,,,,,,,
1,"402 × N6 = 34,572  N=?",86,E Mth1,,,,,,,,,,,,,,,,,,,,,,
2,A large box contains 18 small boxes and each small box contains 25 chocolate bars. How many chocolate bars are in the large box? ,450 chocolate bars,E Mth2,,,,,,,,,,,,,,,,,,,,,,
3,It takes John 25 minutes to walk to the car park and 45 to drive to work. At what time should he get out of the house in order to get to work at 9:00 a.m.? ,7:50 a.m.,E Mth3,,,,,,,,,,,,,,,,,,,,,,
4,"If a word problem asks for the difference, what operation is used?",- (subtraction).,E Mth4,,,,,,,,,,,,,,,,,,,,,,
5,How many minutes are in one week? ,"10,080 minutes",E Mth5,,,,,,,,,,,,,,,,,,,,,,
6,590.92 − 219.38 =,371.5,E Mth6,,,,,,,,,,,,,,,,,,,,,,
7,John can eat a quarter of a pizza in one minute. How long does it take John to eat one pizza and a half? ,6 minutes.,E Mth7,,,,,,,,,,,,,,,,,,,,,,
8,1.21/11=?,0.11,E Mth8,,,,,,,,,,,,,,,,,,,,,,
9,A painter charges $ 225 for materials and $ 35 per hour for labor. The total cost of painting an office is $ 330. How many hours did it take the painter to paint the office? ,1. 3 hours,E Mth9,,,,,,,,,,,,,,,,,,,,,,
10,What are parallel lines?,Lines in the same plane that never intersect or cross.,E Mth10,,,,,,,,,,,,,,,,,,,,,,
11,"A factory produced 2,300 TV sets in its first year of production. 4500 sets were produced in its second year and 500 more sets were produced in its third year than in its second year. How many TV sets were produced in three years? ","11,800 TV sets",E Mth11,,,,,,,,,,,,,,,,,,,,,,
12,"The product of two numbers is 42.63. If one number is 2.1, find the other.",20.3,E Mth12,,,,,,,,,,,,,,,,,,,,,,
13,What is the top number in a fraction called?,The numerater,E Mth13,,,,,,,,,,,,,,,,,,,,,,
14,"If 3a + 2 = a-6, then a=? ",D,E Mth14,,,,,,,,,,,,,,,,,,,,,,
15,"There are approximately 925,100 types of insects in the world. If one thousand more types were discovered, which digit in the number would change?",5,E Mth15,,,,,,,,,,,,,,,,,,,,,,
16,"An apple orchard has 30 rows of apple trees, and each row has 20 trees. What is the total number of apple trees in the orchard?",600,E Mth16,,,,,,,,,,,,,,,,,,,,,,
17,"The list below shows the number of seconds between each spray of water from the
fountain in a town square.  25, 10, 30, 25, 40 What is the mean (average) number of seconds between each spray of water?",26,E Mth17,,,,,,,,,,,,,,,,,,,,,,
18,"Lisa bought a bracelet for $3.25, including tax. If she gave the cashier $5.00, how much change did she receive?",1.75,E Mth18,,,,,,,,,,,,,,,,,,,,,,
19,Sara attended a dog show from 8:30 A.M. to 3:45 P.M. How long was Sara at the dog show?,7 hours 15 minutes,E Mth19,,,,,,,,,,,,,,,,,,,,,,
20,"The highest point of Whiteface Mountain in New York is 4,867 feet. What is 4,867 rounded to the nearest thousand?",5000,E Mth20,,,,,,,,,,,,,,,,,,,,,,
21,Phillip’s mathematics teacher drew a triangle that had a 60 degee angle and a 20 degree angle. What is the measure of the third angle in the triangle?,100 degrees,E Mth21,,,,,,,,,,,,,,,,,,,,,,
22,Ms. Seebert used 60% of the gas in her car’s tank while driving over the weekend. Which number  represents how much of the gas she used? (a)0.6 (B)1/6 (C)0.06 (D)1/60,A,E Mth22,,,,,,,,,,,,,,,,,,,,,,
23,"Deena learned the population of her town is 5,342. What is 5,342 rounded to the nearest hundred?",5300,E Mth23,,,,,,,,,,,,,,,,,,,,,,
24,What is the greatest common factor (GCF) of 9 and 36 ?,9,E Mth24,,,,,,,,,,,,,,,,,,,,,,
25,"A history club goes on a field trip to a museum. If the price of a student ticket is $13.00, what is the total ticket cost for 24 students?",312,E Mth25,,,,,,,,,,,,,,,,,,,,,,
26,"The list below shows the weights, in pounds, of five different kangaroos. 65, 75, 80, 85, 85 What is the mean (average) weight, in pounds, of the kangaroos?",78,E Mth26,,,,,,,,,,,,,,,,,,,,,,
